         582           5
T5b8 poor          
S18c12 poor        
S11c13 poor        
S14c4 poor         
PE17xB2315 poor    
T14B2 poor         
M11C7 poor         
S16B2 poor         
S16B3 poor         
N15A2 poor         
N6B1 poor          
S11c10 poor        
ROH1gyrAR poor     
T17B2 poor         
S4C8 poor          
S13C2M poor        
T17B4 not          
N19A1 not          
S4C10 not          
S13c5M not         
S14c2M not         
T5b3 not           
N9B24 not          
S16C1 not          
T13B2 not          
S20c8 not          
T6c7 not           
S10c2 not          
S17b2 not          
S8B5 not           
S15c9 not          
S11b4 not          
S17B4 not          
S17B5 not          
S8c1.1 not         
M20B1 not          
N12A6 not          
S15C2 not          
S8C1II not         
N14A1 not          
N11C7 not          
S5B2 not           
S15B3 not          
T7b1 not           
T5b9 not           
S18B1 not          
98x7b not          
S10c1 not          
S20B5 not          
T15C9 not          
S6C1 not           
S10c14 not         
S14c2F not         
T18C10 not         
T20C8 not          
S8C3 not           
S17C4 not          
N9B19 not          
T20C14 not         
N5B1 not           
S6B3 not           
N13C7 not          
S4C9 not           
N1C6 not           
N9C15 not          
M19B5 not          
S8C8 not           
T4c9 not           
M14C13 not         
N5A4 not           
N9A19 not          
N9a21 not          
N9A18 not          
M20B5 not          
T4C10 not          
103x8 not          
S4C5 not           
S17c8 not          
T8c3 poor          
T13B1 poor         
S18c13 poor        
N6B2 poor          
S13c11 poor        
S16c8 poor         
N2A4 poor          
S18b3 poor         
22a1 poor          
N16A9 poor         
S11b5 poor         
N9C2 poor          
N9B20 poor         
S13c6 poor         
T16B2 R            
N15B2 R            
N9C3 R             
16A1 R             
S17c7 R            
16B2 R             
T12C1 R            
M16B5 R            
S7B5 R             
S8C12 R            
N17A9 R            
N2A1 R             
T5c11 poor         
N18A17 poor        
S13c7F poor        
T14B3 F            
S15B4 F            
21b5 F             
N9C19 F            
S8B4 F             
106x4 F            
M18B1 F            
M19C9 F            
98x9 F             
102x3 F            
102x4 F            
S14C1I F           
S14B1 F            
N9C16 F            
S17C6 F            
98x1 F             
N9A5 F             
N9A10 F            
T12C4 F            
M13B10 F           
S15C6 F            
N9B21 F            
S12c7 F            
N11C11 F           
N9A15 F            
T14C6 poor         
N9B28 poor         
S17C2 poor         
M15B2 poor         
S11b2 poor         
M11C9 poor         
N20B2 poor         
M8B6 poor          
S12c11 poor        
16B3 poor          
S10c13 poor        
97x9 poor          
T15B5 poor         
S18c3 poor         
19b2 poor          
S11c11 poor        
S12b5 poor         
M12C6 poor         
S6B1 poor          
S7B2 poor          
96x10 poor         
N7B4 poor          
N9B18 poor         
S18c10 poor        
S4C7 poor          
N16B2 poor         
S12b3 poor         
S12c14 poor        
T7C9.F poor        
N16A12 poor        
N16A7 poor         
19b4x1 poor        
T18C9 poor         
S11c2 poor         
ROA4gyrAR poor     
ROFF1gyrAR poor    
PE22ps64gy poor    
PE32xPS218 poor    
PE32xPS130 poor    
ROC2gyrAR poor     
